1	48	3.13274
1	121	1.81125
1	168	1.41739
1	217	1.69167
1	229	2.56438
1	254	4.33072
1	279	3.58379
2	73	2.02314
2	170	1.57505
2	173	1.35802
2	240	2.98621
2	243	2.17889
2	255	2.91066
2	298	5.50037
3	42	2.75156
3	96	2.11487
3	110	3.01681
3	189	1.86419
3	230	1.62159
3	267	3.19268
3	281	3.95919
4	126	1.31878
4	195	2.75563
4	224	1.50568
4	231	2.74666
4	234	2.43999
4	249	3.0655
4	297	4.69806
5	9	0.135796
5	188	2.37757
5	242	2.37349
5	258	3.16655
5	269	1.72686
5	274	3.71743
5	291	5.02403
6	85	1.80463
6	168	1.90546
6	189	1.58893
6	203	1.69204
6	227	3.1813
6	242	4.26595
6	279	4.07186
7	50	3.34824
7	144	2.53477
7	220	3.36037
7	271	1.98253
7	276	2.55082
7	280	2.06525
7	285	2.67015
8	196	0.000384416
8	219	1.4
8	278	3.61731
8	287	4.25347
8	289	3.09888
8	294	2.66428
8	299	3.55685
9	5	0.135796
9	210	2.79239
9	221	2.75681
9	240	3.71372
9	292	3.21875
9	293	2.87973
9	296	3.02477
10	18	2.0255
10	63	2.05036
10	109	1.23727
10	168	1.93522
10	217	2.17377
10	252	5.88889
10	253	3.09832
11	112	0.489873
11	173	1.87745
11	261	1.28807
11	267	3.49738
11	273	3.89455
11	291	4.2235
11	295	3.26007
12	80	2.63998
12	114	0.750287
12	181	1.67606
12	236	0.471155
12	276	4.17656
12	298	4.5044
12	300	4.28864
13	130	1.69832
13	174	1.96625
13	175	1.9663
13	190	2.42574
13	201	2.90164
13	223	2.12226
13	300	5.45061
14	80	1.72748
14	121	0.649973
14	125	3.42522
14	172	1.3843
14	258	4.10175
14	286	2.98234
14	300	4.26062
15	127	0.819006
15	151	0.736271
15	155	1.90282
15	265	2.98045
15	283	3.55809
15	290	4.20975
15	296	4.31538
16	139	1.13203
16	186	1.78366
16	204	2.60833
16	236	3.73622
16	259	2.65809
16	278	2.8154
16	284	3.78742
17	167	1.97734
17	238	0.901019
17	241	1.9808
17	261	1.45155
17	291	4.38698
17	295	3.42355
17	298	4.4051
18	10	2.0255
18	27	2.15081
18	151	1.40305
18	255	2.51445
18	267	2.58174
18	272	3.02066
18	293	4.83711
19	56	2.59498
19	94	3.64371
19	181	2.34653
19	208	3.22457
19	236	0.989559
19	254	0.661957
19	298	5.02281
20	38	1.16164
20	96	1.89678
20	134	1.97788
20	175	2.41692
20	257	2.46824
20	281	3.7411
20	287	4.85172
21	159	0.875189
21	222	2.7547
21	224	3.16099
21	228	3.2246
21	230	2.87268
21	256	2.64776
21	264	2.96999
22	212	1.06878
22	217	1.06079
22	229	1.9335
22	246	2.24276
22	268	4.04177
22	279	2.95292
22	282	5.21409
23	71	2.49394
23	121	3.65052
23	147	0.971897
23	187	3.13254
23	194	2.47801
23	253	2.45943
23	279	3.32661
24	50	1.83411
24	153	0.757757
24	170	2.7031
24	232	2.61855
24	274	3.92136
24	277	1.84822
24	299	4.82961
25	104	2.12005
25	134	2.93951
25	226	4.19935
25	232	0.253254
25	243	2.32034
25	282	2.65209
25	295	4.04015
26	27	4.23158
26	171	0.900603
26	225	1.74402
26	258	2.39327
26	289	3.09397
26	294	2.65937
26	299	3.55194
27	18	2.15081
27	26	4.23158
27	190	2.87314
27	223	0.221806
27	274	1.75967
27	287	2.81047
27	298	4.46673
28	32	1.20505
28	124	1.46227
28	141	0.883091
28	216	1.77514
28	234	3.85693
28	237	4.19836
28	287	5.12328
29	95	2.23578
29	97	1.79336
29	115	2.81419
29	181	1.82978
29	214	2.44986
29	251	4.18529
29	258	3.1744
30	68	1.83272
30	97	1.87579
30	125	2.67084
30	158	2.15323
30	256	3.24496
30	262	2.86522
30	275	3.84667
31	131	0.881872
31	192	2.68808
31	247	2.27657
31	255	1.32238
31	263	1.75669
31	295	5.69444
31	297	3.9043
32	28	1.20505
32	195	2.79357
32	231	2.78461
32	234	2.47793
32	244	1.94707
32	286	3.42775
32	295	3.89251
33	180	0.109502
33	197	1.22554
33	286	2.12599
33	289	4.12762
33	290	3.91067
33	298	3.62004
33	300	3.40428
34	114	0.762565
34	196	0.00966407
34	256	2.43682
34	257	2.89846
34	278	3.93391
34	289	4.05729
34	299	4.51527
35	194	2.40619
35	195	1.58155
35	237	1.59783
35	248	3.67784
35	264	2.80169
35	268	2.85889
35	285	3.60956
36	150	2.0404
36	162	2.68731
36	167	2.48169
36	178	2.04771
36	180	1.86444
36	266	3.17024
36	271	4.22645
37	172	1.63663
37	191	2.68425
37	206	1.9314
37	243	1.40723
37	260	1.49545
37	269	4.64322
37	298	4.72871
38	20	1.16164
38	102	1.55247
38	103	1.83824
38	201	1.87912
38	216	3.51587
38	245	3.97861
38	266	4.58234
39	205	2.32696
39	222	0.000499864
39	224	3.47263
39	228	3.49023
39	289	3.09859
39	294	2.664
39	299	3.55657
40	248	2.35503
40	249	2.36058
40	252	0.969375
